Estado,Municipio,RiscoFogo,FRP
PARÁ,IPIXUNA DO PARÁ,0.87,9.0
MARANHÃO,GOVERNADOR NUNES FREIRE,1.0,79.6
PARÁ,BREU BRANCO,0.58,5.3
PARÁ,OEIRAS DO PARÁ,0.33,4.8
MARANHÃO,BOM JARDIM,1.0,16.8
PARÁ,PACAJÁ,0.97,11.4
PARÁ,PORTEL,0.43,20.3
PARÁ,BAIÃO,0.32,6.8
PARÁ,MOJU,0.3,12.6
AMAPÁ,AMAPÁ,1.0,7.4
PARÁ,NOVO REPARTIMENTO,0.84,27.1
PARÁ,ALMEIRIM,0.87,10.7
MARANHÃO,SANTA LUZIA,1.0,34.5
MARANHÃO,BOM JESUS DAS SELVAS,0.83,170.3
PARÁ,ITUPIRANGA,1.0,10.3
PARÁ,ALENQUER,0.49,30.0
PARÁ,CHAVES,0.78,9.3
PARÁ,PRAINHA,0.94,53.2
MARANHÃO,BURITICUPU,0.97,47.3
PARÁ,SÃO FÉLIX DO XINGU,0.55,10.0
MARANHÃO,BOM JARDIM,0.89,36.8
MARANHÃO,BOM JARDIM,0.82,11.2
MARANHÃO,CENTRO NOVO DO MARANHÃO,1.0,58.6
PARÁ,TAILÂNDIA,0.62,13.3
PARÁ,IPIXUNA DO PARÁ,0.86,10.8
PARÁ,ANAPU,0.8,11.5
MARANHÃO,SANTA LUZIA,1.0,18.3
PARÁ,NOVO REPARTIMENTO,0.01,9.2
PARÁ,NOVO REPARTIMENTO,1.0,10.6
AMAPÁ,VITÓRIA DO JARI,0.64,12.8
PARÁ,PACAJÁ,1.0,7.2
PARÁ,ALTAMIRA,0.98,15.1
AMAZONAS,BOA VISTA DO RAMOS,0.34,35.2
PARÁ,RONDON DO PARÁ,0.77,21.4
MARANHÃO,CIDELÂNDIA,0.25,13.9
PARÁ,NOVO REPARTIMENTO,0.87,23.7
PARÁ,ACARÁ,1.0,6.2
PARÁ,URUARÁ,1.0,19.4
PARÁ,PARAGOMINAS,0.92,8.7
PARÁ,ITUPIRANGA,1.0,101.8
MARANHÃO,SÃO BENTO,1.0,24.3
PARÁ,MELGAÇO,0.88,12.4
PARÁ,RONDON DO PARÁ,0.78,48.8
PARÁ,MOCAJUBA,0.25,16.4
AMAZONAS,BARREIRINHA,0.35,58.3
PARÁ,PORTEL,0.51,9.9
MARANHÃO,SANTA LUZIA DO PARUÁ,1.0,20.6
PARÁ,PORTEL,0.55,11.5
MARANHÃO,ALTO ALEGRE DO PINDARÉ,1.0,57.5
