DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,14.0,0.0,0.95,-3.5275,-50.76468,7.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,19.0,0.0,0.92,-3.77883,-51.81612,9.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MARABÁ,Amazônia,4.0,0.0,1.0,-5.26847,-50.68799,9.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,16.0,0.0,1.0,-4.29257,-50.56659,53.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,8.0,0.0,0.79,-3.25201,-50.57579,19.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,6.0,0.0,0.75,-3.32949,-50.22403,13.8
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,MAZAGÃO,Amazônia,-999.0,0.89,0.7,-0.18135,-51.41703,40.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,MARACAÇUMÉ,Amazônia,19.0,0.0,1.0,-2.21942,-46.12623,18.1
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,16.0,0.0,1.0,-2.26804,-53.61696,331.5
2024/12/01 17:45:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,5.0,0.0,0.56,0.91012,-59.46106,102.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,15.0,0.19,0.98,-2.5707,-53.38924,273.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,MARANHÃOZINHO,Amazônia,13.0,0.0,1.0,-2.3784,-45.95762,42.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,GURUPÁ,Amazônia,5.0,6.81,0.11,-0.81995,-51.61861,29.5
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,PRACUÚBA,Amazônia,8.0,0.0,0.83,1.65764,-50.77124,8.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,4.0,0.0,0.99,-5.77144,-51.29947,186.7
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ALENQUER,Amazônia,0.0,0.0,0.59,-1.45262,-55.19686,22.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ANAPU,Amazônia,5.0,0.0,0.86,-3.96774,-51.26851,7.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,6.0,0.0,0.88,-2.54928,-48.40656,9.3
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ÓBIDOS,Amazônia,5.0,0.0,0.61,-1.33856,-55.67422,22.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJUÍ DOS CAMPOS,Amazônia,6.0,0.0,0.92,-3.13499,-54.5333,95.2
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,14.0,0.66,1.0,-2.03484,-53.50368,15.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,15.0,0.0,0.89,-4.28015,-50.67415,9.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BRASIL NOVO,Amazônia,16.0,0.0,1.0,-2.8351,-52.59772,22.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,6.0,0.0,0.41,-2.98516,-49.43593,27.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,11.0,2.39,0.56,-2.86651,-48.56182,56.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ANAPU,Amazônia,12.0,1.65,0.52,-2.80094,-51.48539,8.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ÓBIDOS,Amazônia,12.0,0.0,0.76,-1.90393,-55.22285,28.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,12.0,0.0,1.0,-3.97224,-49.0529,6.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,10.0,0.06,0.85,-4.32907,-48.09187,22.3
